
New Run


Round 1:

Epoch 40: train_loss=0.033251, test_loss=0.133377, acc=0.0000
Epoch 41: train_loss=0.032794, test_loss=0.138265, acc=0.0000
Epoch 42: train_loss=0.032436, test_loss=0.142055, acc=0.0000
Epoch 43: train_loss=0.032105, test_loss=0.144144, acc=0.0000
Epoch 44: train_loss=0.031688, test_loss=0.143976, acc=0.0000
Epoch 45: train_loss=0.031051, test_loss=0.141120, acc=0.0000
Epoch 46: train_loss=0.030069, test_loss=0.135363, acc=0.0000
Epoch 47: train_loss=0.028653, test_loss=0.126803, acc=0.0000
Epoch 48: train_loss=0.026772, test_loss=0.115895, acc=0.0000
Epoch 49: train_loss=0.024432, test_loss=0.103408, acc=0.0000
Epoch 50: train_loss=0.021629, test_loss=0.090249, acc=0.0000

Round 4:

Epoch 1: train_loss=0.041265, test_loss=0.131096, acc=0.0000
Epoch 2: train_loss=0.037292, test_loss=0.158635, acc=0.0000
Epoch 3: train_loss=0.037228, test_loss=0.173917, acc=0.0000
Epoch 4: train_loss=0.038278, test_loss=0.175276, acc=0.0000
Epoch 5: train_loss=0.038349, test_loss=0.167844, acc=0.0000
Epoch 6: train_loss=0.037604, test_loss=0.156203, acc=0.0000
Epoch 7: train_loss=0.036772, test_loss=0.143639, acc=0.0000
Epoch 8: train_loss=0.036338, test_loss=0.132681, acc=0.0000
Epoch 9: train_loss=0.036377, test_loss=0.125132, acc=0.0000
Epoch 10: train_loss=0.036601, test_loss=0.121763, acc=0.0000
Epoch 11: train_loss=0.036647, test_loss=0.122347, acc=0.0000
Epoch 12: train_loss=0.036362, test_loss=0.126083, acc=0.0000
Epoch 13: train_loss=0.035849, test_loss=0.131910, acc=0.0000
Epoch 14: train_loss=0.035319, test_loss=0.138574, acc=0.0000
Epoch 15: train_loss=0.034930, test_loss=0.144618, acc=0.0000
Epoch 16: train_loss=0.034702, test_loss=0.148513, acc=0.0000
Epoch 17: train_loss=0.034499, test_loss=0.149032, acc=0.0000
Epoch 18: train_loss=0.034121, test_loss=0.145712, acc=0.0000
Epoch 19: train_loss=0.033451, test_loss=0.139034, acc=0.0000
Epoch 20: train_loss=0.032526, test_loss=0.130229, acc=0.0000
Epoch 21: train_loss=0.031472, test_loss=0.120943, acc=0.0000
Epoch 22: train_loss=0.030343, test_loss=0.112750, acc=0.0000
Epoch 23: train_loss=0.029015, test_loss=0.106573, acc=0.0000
Epoch 24: train_loss=0.027260, test_loss=0.102392, acc=0.0000
Epoch 25: train_loss=0.024964, test_loss=0.099149, acc=0.0000
Epoch 26: train_loss=0.022270, test_loss=0.094058, acc=0.0000
Epoch 27: train_loss=0.019410, test_loss=0.082577, acc=0.0000
Epoch 28: train_loss=0.016068, test_loss=0.064369, acc=0.0000
Epoch 29: train_loss=0.011980, test_loss=0.044819, acc=0.0000
Epoch 30: train_loss=0.008152, test_loss=0.029840, acc=0.0295
Epoch 31: train_loss=0.005005, test_loss=0.019975, acc=0.1178
Epoch 32: train_loss=0.002684, test_loss=0.012394, acc=0.3147
Epoch 33: train_loss=0.002953, test_loss=0.006440, acc=0.5256
Epoch 34: train_loss=0.004466, test_loss=0.004758, acc=0.4496
Epoch 35: train_loss=0.006827, test_loss=0.004334, acc=0.4620
Epoch 36: train_loss=0.007357, test_loss=0.004131, acc=0.4946
Epoch 37: train_loss=0.006704, test_loss=0.004135, acc=0.5101
Epoch 38: train_loss=0.004912, test_loss=0.004346, acc=0.5209
Epoch 39: train_loss=0.003415, test_loss=0.005330, acc=0.5550
Epoch 40: train_loss=0.002170, test_loss=0.007420, acc=0.5085
Epoch 41: train_loss=0.001765, test_loss=0.009281, acc=0.3659
Epoch 42: train_loss=0.001770, test_loss=0.010332, acc=0.3132
Epoch 43: train_loss=0.002108, test_loss=0.011552, acc=0.2775
Epoch 44: train_loss=0.002586, test_loss=0.013398, acc=0.1752
Epoch 45: train_loss=0.002891, test_loss=0.014853, acc=0.1287
Epoch 46: train_loss=0.003138, test_loss=0.014501, acc=0.1318
Epoch 47: train_loss=0.003151, test_loss=0.012654, acc=0.1860
Epoch 48: train_loss=0.002969, test_loss=0.010795, acc=0.2698
Epoch 49: train_loss=0.002705, test_loss=0.009567, acc=0.3085
Epoch 50: train_loss=0.002297, test_loss=0.008405, acc=0.3519

Round 5:

Epoch 1: train_loss=0.054227, test_loss=0.236584, acc=0.0000
Epoch 2: train_loss=0.048864, test_loss=0.215872, acc=0.0000
Epoch 3: train_loss=0.044482, test_loss=0.196325, acc=0.0000
Epoch 4: train_loss=0.041097, test_loss=0.178121, acc=0.0000
Epoch 5: train_loss=0.038703, test_loss=0.161499, acc=0.0000
Epoch 6: train_loss=0.037262, test_loss=0.146744, acc=0.0000
Epoch 7: train_loss=0.036676, test_loss=0.134160, acc=0.0000
Epoch 8: train_loss=0.036774, test_loss=0.124030, acc=0.0000
Epoch 9: train_loss=0.037312, test_loss=0.116517, acc=0.0000
Epoch 10: train_loss=0.038008, test_loss=0.111576, acc=0.0000
Epoch 11: train_loss=0.038613, test_loss=0.108981, acc=0.0000
Epoch 12: train_loss=0.038976, test_loss=0.108420, acc=0.0000
Epoch 13: train_loss=0.039047, test_loss=0.109565, acc=0.0000
Epoch 14: train_loss=0.038856, test_loss=0.112111, acc=0.0000
Epoch 15: train_loss=0.038478, test_loss=0.115772, acc=0.0000
Epoch 16: train_loss=0.038005, test_loss=0.120282, acc=0.0000
Epoch 17: train_loss=0.037521, test_loss=0.125379, acc=0.0000
Epoch 18: train_loss=0.037096, test_loss=0.130804, acc=0.0000
Epoch 19: train_loss=0.036775, test_loss=0.136298, acc=0.0000
Epoch 20: train_loss=0.036578, test_loss=0.141610, acc=0.0000
Epoch 21: train_loss=0.036502, test_loss=0.146505, acc=0.0000
Epoch 22: train_loss=0.036525, test_loss=0.150779, acc=0.0000
Epoch 23: train_loss=0.036614, test_loss=0.154271, acc=0.0000
Epoch 24: train_loss=0.036731, test_loss=0.156869, acc=0.0000
Epoch 25: train_loss=0.036841, test_loss=0.158518, acc=0.0000
Epoch 26: train_loss=0.036918, test_loss=0.159216, acc=0.0000
Epoch 27: train_loss=0.036946, test_loss=0.159010, acc=0.0000
Epoch 28: train_loss=0.036921, test_loss=0.157986, acc=0.0000
Epoch 29: train_loss=0.036850, test_loss=0.156263, acc=0.0000
Epoch 30: train_loss=0.036744, test_loss=0.153980, acc=0.0000
Epoch 31: train_loss=0.036623, test_loss=0.151294, acc=0.0000
Epoch 32: train_loss=0.036501, test_loss=0.148364, acc=0.0000
Epoch 33: train_loss=0.036396, test_loss=0.145348, acc=0.0000
Epoch 34: train_loss=0.036316, test_loss=0.142399, acc=0.0000
Epoch 35: train_loss=0.036267, test_loss=0.139651, acc=0.0000
Epoch 36: train_loss=0.036245, test_loss=0.137223, acc=0.0000
Epoch 37: train_loss=0.036244, test_loss=0.135206, acc=0.0000
